Prime_Minister,Words
Gulzarilal nanda ,863
Chandra Shekhar ,"1,620"
Charan singh ,"1,896"
H.D. Deve Gowda ,"1,907"
Morarji desai ,"2,302"
Inder Kumar Gujral ,"2,797"
Vishwanath Pratap singh ,"4,536"
Manmohan Singh ,"4,678"
Lal bahadur shastri ,"5,361"
P.V. Narasimha Rao ,"5,416"
Rajiv Gandhi ,"5,446"
Atal Bihari Vajpayee ,"6,859"
Narendra Modi ,"10,664"
Indira Gandhi ,"12,790"
Jawaharlal nehru ,"13,683"
