Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
318;Jake Layman;SF;27;MIN;23;1;7.3;0.8;2.1;0.367;0.2;1.1;0.154;0.6;1;0.609;0.408;0.3;0.3;0.75;0.2;0.9;1;0.3;0.3;0.2;0.3;0.4;2
319;Damion Lee;SG;29;GSW;47;3;20.3;2.9;6.4;0.452;1.2;3.3;0.37;1.7;3.1;0.538;0.547;0.9;1;0.851;0.4;2.7;3.1;0.9;0.7;0.1;0.6;1.4;7.8
320;Saben Lee;PG;22;DET;28;0;14.5;1.6;4.4;0.377;0.4;1.6;0.273;1.2;2.8;0.436;0.426;1.2;1.5;0.767;0.4;2;2.4;2.3;0.9;0.4;0.9;0.9;4.9
321;Alex Len;C;28;SAC;33;9;16.9;2.5;4.7;0.529;0.2;0.6;0.316;2.3;4.1;0.559;0.548;1.1;1.7;0.643;1.5;3.2;4.6;1.2;0.4;0.8;1.2;2.7;6.2
322;Caris LeVert;SG;27;TOT;43;40;31.1;7;15.8;0.443;1.5;4.7;0.32;5.5;11.1;0.495;0.49;2.7;3.5;0.76;0.7;2.9;3.6;4.4;1;0.4;1.9;2.3;18.2
322;Caris LeVert;SG;27;IND;39;39;31.1;7.1;15.9;0.447;1.6;4.8;0.323;5.6;11.1;0.501;0.496;2.8;3.7;0.76;0.8;3.1;3.8;4.4;0.9;0.5;1.9;2.3;18.7
322;Caris LeVert;SG;27;CLE;4;1;31;5.8;14.5;0.397;1;3.5;0.286;4.8;11;0.432;0.431;0.8;1;0.75;0.3;1.3;1.5;3.8;1.5;0.3;1.5;1.8;13.3
323;Kira Lewis Jr.;PG;20;NOP;24;0;14.2;2.5;6.1;0.404;0.5;2.4;0.224;1.9;3.7;0.523;0.449;0.4;0.5;0.833;0.4;1.3;1.6;2;0.5;0;1.1;0.7;5.9
324;Scottie Lewis;SG;21;CHO;2;0;3.5;0;0;0;0;0;0;0;0;0;0;0.5;1;0.5;0;0;0;0.5;0.5;0;0;0;0.5
325;Damian Lillard;PG;31;POR;29;29;36.4;7.7;19;0.402;3.2;9.8;0.324;4.5;9.2;0.485;0.486;5.5;6.2;0.878;0.4;3.7;4.1;7.3;0.6;0.4;2.9;1.3;24
326;Nassir Little;SF;21;POR;42;23;25.9;3.5;7.5;0.46;1.2;3.7;0.331;2.2;3.8;0.584;0.541;1.6;2.2;0.734;1.4;4.2;5.6;1.3;0.6;0.9;1;2;9.8
327;Isaiah Livers;SF;23;DET;1;0;5;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0
328;Kevon Looney;C;25;GSW;59;59;21.4;2.6;4.8;0.548;0;0;0;2.6;4.7;0.55;0.548;1.1;1.7;0.631;2.7;4.8;7.6;1.7;0.6;0.7;0.9;2.7;6.3
329;Brook Lopez;C;33;MIL;1;1;28;3;9;0.333;2;4;0.5;1;5;0.2;0.444;0;0;0;2;3;5;0;1;3;0;3;8
330;Robin Lopez;C;33;ORL;27;9;17.3;3.4;6;0.571;0.1;0.2;0.4;3.3;5.8;0.577;0.578;0.9;1.5;0.575;2;1.6;3.6;1.6;0;0.6;1.3;1.9;7.7
331;Didi Louzada;SF;22;NOP;2;0;3.5;0;1.5;0;0;1.5;0;0;0;0;0;0;0;0;1;0;1;0.5;0;0;0;0;0
332;Kevin Love;PF;33;CLE;50;2;22.3;4.5;10.7;0.426;2.5;6.4;0.393;2;4.2;0.476;0.544;2.7;3.2;0.854;1.2;6.2;7.3;2.1;0.3;0.2;1.3;1.2;14.3
333;Kyle Lowry;PG;35;MIA;45;45;34;4.3;10.3;0.42;2.1;6;0.344;2.2;4.3;0.526;0.521;2.3;2.7;0.846;0.6;3.9;4.5;8;1.2;0.3;3;2.8;13
334;Timothé Luwawu-Cabarrot;SF;26;ATL;36;12;12.6;1.4;3.6;0.385;0.9;2.4;0.368;0.5;1.2;0.419;0.508;0.5;0.6;0.85;0.3;1.1;1.4;0.7;0.4;0.1;0.4;1.3;4.1
335;Trey Lyles;PF;26;TOT;53;3;18.8;3.3;7.3;0.459;0.8;2.8;0.301;2.5;4.5;0.554;0.516;2.6;3.3;0.784;1.1;3.5;4.7;1.1;0.4;0.5;1.1;1.7;10.1
335;Trey Lyles;PF;26;DET;51;3;19.4;3.4;7.5;0.456;0.9;2.9;0.301;2.6;4.7;0.55;0.513;2.7;3.5;0.784;1.2;3.6;4.8;1.1;0.4;0.5;1.1;1.8;10.4
335;Trey Lyles;PF;26;SAC;2;0;4;1;1;1;0;0;0;1;1;1;1;0;0;0;0;1.5;1.5;0;0;0;1;0.5;2
336;Théo Maledon;PG;20;OKC;31;0;14.2;1.3;4.2;0.318;0.5;2.1;0.231;0.8;2.1;0.406;0.376;1.2;1.4;0.857;0.3;1.4;1.6;1.2;0.5;0.2;0.9;1.1;4.3
337;Sandro Mamukelashvili;PF;22;MIL;33;2;9.5;1.2;2.6;0.459;0.5;1.2;0.385;0.7;1.4;0.522;0.547;0.3;0.4;0.75;0.8;0.9;1.8;0.5;0.2;0.2;0.3;0.6;3.1
338;Terance Mann;SF;25;LAC;59;23;28.9;4;8.4;0.481;1;2.7;0.356;3.1;5.7;0.54;0.538;1.3;1.8;0.736;1.3;3.9;5.2;2.4;0.7;0.1;1;2.2;10.4
339;Tre Mann;PG;20;OKC;45;13;20;3.2;8.3;0.383;1.4;3.8;0.365;1.8;4.5;0.399;0.466;0.9;1.2;0.75;0.3;1.9;2.2;1;0.7;0.2;0.8;1.7;8.7
340;Boban Marjanovi?;C;33;DAL;17;0;5.8;2.1;3.4;0.632;0.1;0.2;0.333;2.1;3.2;0.648;0.64;0.5;0.9;0.5;0.4;1.4;1.8;0.1;0;0.1;0.6;1.2;4.8
341;Lauri Markkanen;PF;24;CLE;38;38;30.2;4.9;11.3;0.436;2;5.9;0.342;2.9;5.4;0.539;0.526;1.7;1.9;0.863;1.1;4.2;5.3;1.5;0.8;0.6;0.8;1.8;13.6
342;Naji Marshall;SF;24;NOP;32;0;9.6;1.3;3.4;0.37;0.3;1.5;0.213;0.9;1.9;0.492;0.417;0.9;1.1;0.857;0.5;1.6;2.1;0.8;0.4;0.1;0.8;0.9;3.8
343;Caleb Martin;SF;26;MIA;44;10;22.9;3.7;7.2;0.506;1;2.6;0.379;2.7;4.6;0.579;0.575;1.2;1.6;0.739;1.3;2.7;4;1;1;0.5;0.8;1.6;9.5
344;Cody Martin;SF;26;CHO;49;11;27.2;2.9;6.5;0.454;1;2.4;0.41;2;4.1;0.48;0.53;1.1;1.7;0.671;1.2;3;4.2;2.6;1.3;0.5;0.9;1.7;8
345;Kelan Martin;SF;26;IND;27;1;16.4;2.6;6.2;0.417;0.8;2.7;0.297;1.8;3.5;0.511;0.482;0.3;0.5;0.692;0.6;1.4;2;0.8;0.5;0.3;0.5;1.3;6.3
346;Kenyon Martin Jr.;SF;21;HOU;54;0;19.9;3.5;6.5;0.53;0.6;1.8;0.306;2.9;4.7;0.616;0.572;1.1;1.6;0.648;1.2;2.8;3.9;1.3;0.4;0.5;0.8;1.3;8.5
347;Garrison Mathews;SG;25;HOU;40;18;27.3;3.3;7.9;0.413;2.4;6.5;0.372;0.8;1.4;0.611;0.567;2.6;3.2;0.813;0.6;2.8;3.4;1;0.7;0.4;0.7;2.9;11.5
348;Dakota Mathias;SG;26;MEM;6;0;2.7;0.3;1;0.333;0.3;1;0.333;0;0;0;0.5;0;0;0;0;0.3;0.3;0.2;0.2;0;0;0.2;1
349;Wesley Matthews;SG;35;MIL;29;6;19.2;1.8;4.5;0.408;1.1;3.2;0.34;0.7;1.2;0.583;0.531;0.2;0.3;0.6;0.5;1.3;1.9;0.7;0.4;0.2;0.4;1.9;5
350;Tyrese Maxey;PG;21;PHI;50;49;35.5;6.3;13.4;0.472;1.4;3.5;0.395;4.9;9.9;0.499;0.524;2.8;3.2;0.863;0.4;3.2;3.6;4.6;0.7;0.5;1.2;2.1;16.9
351;Skylar Mays;SG;24;ATL;23;5;9;1.3;2.7;0.508;0.3;1.1;0.32;1;1.6;0.639;0.574;0.3;0.4;0.889;0.2;0.9;1.1;0.7;0.3;0;0.4;0.3;3.4
352;Miles McBride;PG;21;NYK;21;2;7.2;0.7;2.8;0.259;0.2;1.5;0.161;0.5;1.3;0.37;0.302;0.1;0.2;0.75;0.1;0.7;0.8;1.1;0.4;0;0.1;0.7;1.8
353;Mac McClung;PG;23;CHI;1;0;3;1;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;2
354;CJ McCollum;SG;30;TOT;40;40;35.3;8.3;18.7;0.444;3;8;0.379;5.3;10.7;0.492;0.525;1.5;2;0.725;1;3.6;4.5;4.6;1;0.5;2;2.1;21.1
354;CJ McCollum;SG;30;POR;36;36;35.2;8.1;18.5;0.436;3.1;8;0.384;5;10.4;0.476;0.52;1.3;1.9;0.706;0.9;3.3;4.3;4.5;1;0.6;1.9;2.1;20.5
354;CJ McCollum;SG;30;NOP;4;4;35.8;10.5;20.8;0.506;2.5;7.5;0.333;8;13.3;0.604;0.566;2.5;3;0.833;1.3;5.8;7;5.5;1.3;0;2;1.5;26
355;T.J. McConnell;PG;29;IND;24;6;24.2;3.8;7.5;0.503;0.3;1;0.28;3.5;6.5;0.538;0.522;0.5;0.6;0.8;0.8;2.5;3.3;4.8;1;0.4;1.2;1.8;8.4
356;Jaden McDaniels;PF;21;MIN;56;24;26.3;3.5;7.9;0.445;1.1;3.6;0.296;2.5;4.4;0.566;0.511;0.8;1;0.789;1.2;3.1;4.3;1.2;0.8;0.7;1.1;3.2;8.9
357;Jalen McDaniels;SF;24;CHO;39;2;17.6;2.5;5.1;0.492;0.8;2.2;0.372;1.7;2.8;0.586;0.574;0.8;1.2;0.674;0.7;2.7;3.5;1.1;0.5;0.4;0.8;1.8;6.6
358;Doug McDermott;PF;30;SAS;43;43;24.5;4.5;9.5;0.471;2.3;5.3;0.441;2.2;4.3;0.508;0.593;0.6;0.8;0.75;0.4;2.1;2.5;1.2;0.3;0.1;0.8;1.6;11.9
359;JaVale McGee;C;34;PHO;52;14;16.1;4.3;6.5;0.657;0;0.1;0.333;4.2;6.4;0.663;0.66;1.4;2;0.683;2.3;4.6;6.9;0.6;0.3;1;1.4;2.5;9.9
360;Cameron McGriff;SF;24;POR;3;0;15.3;1.7;4.7;0.357;0.7;2;0.333;1;2.7;0.375;0.429;0.7;0.7;1;2;3;5;1;0;0.3;0;2.3;4.7
361;Rodney McGruder;SG;30;DET;33;1;13.5;1.7;3.7;0.451;0.9;2.2;0.397;0.8;1.5;0.531;0.57;0.3;0.4;0.714;0.5;1.4;1.9;0.8;0.4;0.1;0.4;1;4.5
362;Alfonzo McKinnie;SF;29;CHI;17;3;12.1;1.4;3.6;0.393;0.5;1.6;0.333;0.9;2;0.441;0.467;0.1;0.5;0.25;0.8;1.2;1.9;0.3;0.1;0.2;0.4;1.5;3.5
363;JaQuori McLaughlin;PG;24;DAL;4;0;2.8;0;0.5;0;0;0.3;0;0;0.3;0;0;0;0;0;0;0;0;0.5;0;0;0;0.3;0
364;Jordan McLaughlin;PG;25;MIN;41;3;12.5;1.1;3;0.377;0.2;1.1;0.191;0.9;1.8;0.493;0.414;0.6;0.8;0.742;0.2;1.1;1.3;2.8;0.7;0.1;0.5;0.6;3
365;Ben McLemore;SG;28;POR;42;6;18.8;3.1;7.7;0.397;2.3;6.1;0.374;0.8;1.6;0.485;0.545;0.7;0.9;0.784;0.3;1.3;1.6;0.9;0.4;0.1;0.6;1.4;9.1
366;De'Anthony Melton;SG;23;MEM;51;13;22.7;3.6;9.3;0.387;1.6;4.7;0.343;2;4.6;0.432;0.474;1.1;1.6;0.713;1;3.5;4.5;2.7;1.6;0.5;1.4;1.7;9.9
367;Sam Merrill;SG;25;MEM;6;0;9.7;1.3;4;0.333;1.2;3.8;0.304;0.2;0.2;1;0.479;0.3;0.7;0.5;0.2;1;1.2;0.7;0;0;0.3;0.5;4.2
368;Chimezie Metu;C;24;SAC;42;20;22.2;3.4;7.8;0.436;1;3.4;0.28;2.5;4.4;0.557;0.497;1.2;1.6;0.773;0.7;5.2;5.9;1.1;0.8;0.6;1;1.4;9
369;Khris Middleton;SF;30;MIL;47;47;32;6.6;14.9;0.442;2.3;6.3;0.364;4.3;8.7;0.499;0.519;4;4.5;0.886;0.6;4.9;5.5;5.3;1.2;0.3;3;2.5;19.4
370;C.J. Miles;SG;34;BOS;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
371;Patty Mills;PG;33;BRK;57;40;31.1;4.7;11.1;0.422;3.2;7.7;0.414;1.5;3.4;0.438;0.565;0.7;0.8;0.87;0.2;1.9;2.2;2.6;0.7;0.3;1;1.5;13.2
372;Paul Millsap;PF;36;TOT;25;0;11.2;1.4;3.6;0.385;0.3;1.2;0.276;1.1;2.5;0.435;0.429;0.5;0.8;0.684;1.3;2.4;3.7;1;0.2;0.4;0.4;2;3.6
372;Paul Millsap;PF;36;BRK;24;0;11.3;1.3;3.5;0.376;0.3;1.1;0.222;1.1;2.4;0.448;0.412;0.5;0.7;0.706;1.2;2.5;3.7;1;0.2;0.5;0.5;2;3.4
372;Paul Millsap;PF;36;PHI;1;0;9;3;6;0.5;2;2;1;1;4;0.25;0.667;1;2;0.5;3;0;3;1;0;0;0;1;9
373;Shake Milton;PG;25;PHI;30;6;24.7;3.8;9.3;0.414;0.8;2.8;0.301;3;6.5;0.462;0.459;1.6;1.8;0.87;0.6;2.5;3.1;2.9;0.7;0.4;1.2;2.1;10.1
374;Davion Mitchell;PG;23;SAC;53;8;26;4.3;10.5;0.406;1.4;4.3;0.326;2.8;6.2;0.462;0.473;0.5;0.8;0.558;0.6;1.8;2.4;3.5;0.7;0.3;1.2;1.9;10.4
375;Donovan Mitchell;SG;25;UTA;46;46;33.4;9.3;20.3;0.456;3.3;9.5;0.351;5.9;10.8;0.548;0.538;3.9;4.5;0.873;0.9;3.3;4.2;5.2;1.6;0.3;2.9;2.4;25.7
376;Evan Mobley;PF;20;CLE;50;50;34.1;6;12;0.503;0.4;1.4;0.265;5.7;10.6;0.534;0.518;2.4;3.6;0.672;1.9;6.2;8.1;2.6;0.8;1.6;2;2;14.9
377;Malik Monk;SG;23;LAL;52;19;27.1;4.8;10.1;0.471;2.3;5.6;0.399;2.5;4.5;0.56;0.582;1.2;1.5;0.772;0.4;2.9;3.3;2.4;0.7;0.4;1.4;1.7;13
378;Greg Monroe;C;31;TOT;10;0;15.1;2.4;4.4;0.545;0;0;0;2.4;4.4;0.545;0.545;0.7;1.4;0.5;2.3;2.9;5.2;1.4;0.6;0.7;0.9;1.6;5.5
378;Greg Monroe;C;31;MIN;3;0;21;3;4.7;0.643;0;0;0;3;4.7;0.643;0.643;0.7;1.7;0.4;1.7;5.3;7;3.7;0.7;1.3;1.3;2.3;6.7
378;Greg Monroe;C;31;WAS;2;0;9;2;4;0.5;0;0;0;2;4;0.5;0.5;0;0;0;3.5;1.5;5;0.5;0.5;0.5;1;1;4
378;Greg Monroe;C;31;MIL;5;0;14;2.2;4.4;0.5;0;0;0;2.2;4.4;0.5;0.5;1;1.8;0.556;2.2;2;4.2;0.4;0.6;0.4;0.6;1.4;5.4
379;Moses Moody;SG;19;GSW;34;4;9.5;1.1;3;0.376;0.6;1.8;0.306;0.6;1.1;0.487;0.47;0.4;0.5;0.824;0.2;1.1;1.4;0.3;0.1;0.2;0.2;0.7;3.2
380;Xavier Moon;SG;27;LAC;6;0;13.8;2.3;5.7;0.412;0.5;1.7;0.3;1.8;4;0.458;0.456;0.3;0.5;0.667;0.2;1.3;1.5;1.7;0.8;0.2;0.5;0.7;5.5
381;Matt Mooney;SG;24;NYK;1;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
382;Ja Morant;PG;22;MEM;46;46;33.2;10;20.2;0.495;1.5;4.5;0.33;8.5;15.7;0.542;0.532;5.3;7;0.755;1.3;4.5;5.8;6.9;1.2;0.4;3.4;1.5;26.8
383;Juwan Morgan;PF;24;TOR;1;0;27;2;3;0.667;1;2;0.5;1;1;1;0.833;0;0;0;2;2;4;1;0;0;0;3;5
384;Jaylen Morris;SG;26;SAS;3;0;5.3;0;2;0;0;0.7;0;0;1.3;0;0;0.7;1.3;0.5;0;0.7;0.7;0.7;0;0;0.3;0.7;0.7
385;Marcus Morris;PF;32;LAC;35;35;30.1;5.9;13.4;0.436;2.1;5.4;0.383;3.8;8.1;0.472;0.513;2.1;2.5;0.831;0.6;4.2;4.8;2.1;0.5;0.3;1.2;2.3;15.9
386;Markieff Morris;PF;32;MIA;10;0;18.7;3.2;7;0.457;0.8;2.2;0.364;2.4;4.8;0.5;0.514;0.5;0.5;1;1.3;1.5;2.8;1.4;0.3;0.1;1.2;2.2;7.7
387;Monte Morris;PG;26;DEN;52;51;30;5.1;10.7;0.476;1.6;4.3;0.375;3.5;6.4;0.544;0.551;0.9;1;0.852;0.4;2.6;3;4.3;0.7;0.2;1;1.2;12.7
388;Emmanuel Mudiay;PG;25;SAC;2;0;5.5;0;1;0;0;0;0;0;1;0;0;1.5;2;0.75;0;0;0;2;0.5;0;0.5;0.5;1.5
389;Mychal Mulder;PG;27;ORL;15;2;13;1.3;4.5;0.299;0.9;3.1;0.283;0.5;1.4;0.333;0.396;0.1;0.1;1;0.1;1.3;1.4;0.2;0.3;0.1;0.5;0.8;3.7
390;Ade Murkey;SG;24;SAC;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
391;Trey Murphy III;SF;21;NOP;41;0;12.7;1.2;3.6;0.338;0.9;2.6;0.336;0.3;1;0.341;0.459;0.6;0.7;0.857;0.7;1.5;2.1;0.5;0.3;0.1;0.3;1;3.9
392;Dejounte Murray;PG;25;SAS;52;52;34.4;8.2;17.9;0.459;1.3;4;0.319;6.9;13.9;0.5;0.495;2.2;2.9;0.758;1.3;7;8.3;9.3;2;0.3;2.4;2;19.9
393;Mike Muscala;C;30;OKC;43;0;13.8;2.6;5.8;0.456;1.6;3.8;0.429;1;2;0.506;0.597;1.1;1.3;0.842;0.5;2.5;3;0.5;0.4;0.6;0.3;1.3;8
394;Svi Mykhailiuk;SF;24;TOR;43;5;15.2;1.9;4.8;0.401;0.8;2.7;0.304;1.1;2.1;0.522;0.486;0.6;0.7;0.844;0.5;1.6;2.1;0.9;0.6;0.1;0.7;1.1;5.3
395;Abdel Nader;SF;28;PHO;14;0;10.4;0.9;2.5;0.343;0.3;1;0.286;0.6;1.5;0.381;0.4;0.4;0.7;0.6;0.3;1.6;1.9;0.5;0.6;0.3;0.8;1.4;2.4
396;Larry Nance Jr.;PF;29;POR;37;11;23.2;2.8;5.4;0.515;0.5;1.7;0.306;2.2;3.7;0.61;0.563;0.9;1.3;0.653;1.6;4.1;5.6;2;1;0.4;0.7;1.8;6.9
397;RJ Nembhard Jr.;SG;22;CLE;7;0;6.3;0.7;1.6;0.455;0;0.1;0;0.7;1.4;0.5;0.455;0.1;0.3;0.5;0;0.3;0.3;1.4;0;0;0.3;0.3;1.6
398;Aaron Nesmith;SF;22;BOS;41;1;10.8;1.3;3.5;0.378;0.5;2.2;0.236;0.8;1.3;0.611;0.451;0.4;0.5;0.842;0.3;1.4;1.7;0.3;0.3;0.1;0.6;1.3;3.5
399;Raul Neto;PG;29;WAS;48;4;20.3;3;6.6;0.45;0.4;1.9;0.236;2.5;4.8;0.533;0.483;1.3;1.7;0.753;0.2;1.8;2;2.8;0.8;0;1.3;1.6;7.7
400;Malik Newman;PG;24;CLE;1;0;8;3;5;0.6;0;1;0;3;4;0.75;0.6;2;2;1;0;1;1;1;0;0;1;0;8
401;Georges Niang;PF;28;PHI;53;5;23.1;3.3;7.6;0.431;1.9;4.8;0.393;1.4;2.8;0.497;0.556;0.8;0.9;0.878;0.4;2.3;2.7;1.5;0.4;0.2;0.8;2.6;9.3
402;Daishen Nix;SG;19;HOU;8;0;8.4;1.6;2.5;0.65;0.4;0.9;0.429;1.3;1.6;0.769;0.725;0.1;0.4;0.333;0.1;1.1;1.3;1.3;0.9;0;1.1;0.4;3.8
403;Zeke Nnaji;PF;21;DEN;39;1;16.7;2.4;4.5;0.54;0.9;1.9;0.487;1.5;2.6;0.58;0.645;1;1.6;0.613;1.4;2.3;3.7;0.4;0.3;0.3;0.5;1.9;6.8
404;Nerlens Noel;C;27;NYK;25;11;22.5;1.3;2.4;0.533;0;0.1;0;1.3;2.3;0.561;0.533;0.8;1.2;0.7;1.9;3.7;5.6;0.9;1.2;1.2;0.8;2.7;3.4
405;Jaylen Nowell;SG;22;MIN;42;1;14.6;3;6.3;0.466;0.9;2.3;0.371;2.1;4;0.521;0.534;1;1.3;0.745;0.4;1.6;2;2.1;0.5;0.1;0.5;1.1;7.7
406;Frank Ntilikina;PG;23;DAL;47;5;12.5;1.5;4;0.379;0.7;2.1;0.34;0.8;1.9;0.422;0.468;0.5;0.5;0.958;0.1;1.2;1.3;1.1;0.5;0.1;0.6;1.1;4.3
407;Jusuf Nurki?;C;27;POR;56;56;28.2;5.7;10.7;0.535;0.3;1;0.268;5.5;9.7;0.563;0.548;3.3;4.8;0.69;3;8.1;11.1;2.8;1.1;0.6;2.6;3.4;15
408;David Nwaba;SF;29;HOU;37;4;13.6;1.9;4;0.473;0.3;1;0.263;1.6;3;0.545;0.507;1.1;1.5;0.719;0.9;2.8;3.7;0.8;0.6;0.5;0.5;1.2;5.2
409;Jordan Nwora;SF;23;MIL;45;9;19.3;3.2;7.8;0.407;1.4;3.9;0.36;1.8;3.9;0.454;0.497;0.4;0.5;0.762;0.7;3;3.7;1;0.5;0.3;1;1.2;8.1
410;Royce O'Neale;SF;28;UTA;54;54;31.4;2.7;5.6;0.49;1.5;3.7;0.406;1.2;1.8;0.663;0.627;0.6;0.8;0.795;0.8;4.2;4.9;2.5;1.3;0.5;0.9;2.4;7.6
411;Semi Ojeleye;PF;27;TOT;21;0;14.9;0.9;3.4;0.25;0.5;2;0.262;0.3;1.4;0.233;0.326;0.5;0.6;0.769;1.2;1.6;2.8;0.2;0.2;0.2;0.3;1.2;2.7
411;Semi Ojeleye;PF;27;MIL;20;0;15.4;0.9;3.5;0.257;0.6;2.1;0.268;0.4;1.5;0.241;0.336;0.5;0.7;0.769;1.3;1.7;2.9;0.3;0.3;0.3;0.3;1.3;2.9
411;Semi Ojeleye;PF;27;LAC;1;0;4;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0
412;Chuma Okeke;PF;23;ORL;49;10;23.9;3;7.9;0.381;1.5;4.8;0.308;1.5;3.1;0.493;0.474;0.7;0.9;0.837;0.7;4;4.7;1.6;1.4;0.6;0.8;1.3;8.2
413;Josh Okogie;SG;23;MIN;33;6;12.4;0.8;2.3;0.347;0.3;1.1;0.278;0.5;1.2;0.41;0.413;0.7;1.1;0.622;0.8;1.1;1.8;0.5;0.5;0.3;0.5;1.2;2.6
414;Onyeka Okongwu;C;21;ATL;26;6;21.5;3.5;4.9;0.719;0;0;0;3.5;4.9;0.719;0.719;1.6;2.2;0.732;2.2;3.3;5.5;1.1;0.7;1.4;1.2;3.2;8.7
415;Isaac Okoro;SF;21;CLE;43;37;28.8;3.2;6.8;0.464;0.8;2.7;0.316;2.3;4.2;0.559;0.526;1.8;2.3;0.778;1;2.1;3.1;1.9;0.8;0.3;1;2.6;9
416;KZ Okpala;PF;22;MIA;21;0;11.6;1.4;3.3;0.435;0.4;1.2;0.346;1;2;0.488;0.5;0.4;0.5;0.727;0.5;1.4;2;0.7;0.2;0.3;0.2;1.2;3.7
417;Cameron Oliver;SF;25;ATL;2;0;21.5;5;7.5;0.667;0.5;1.5;0.333;4.5;6;0.75;0.7;1;1.5;0.667;1;2;3;1.5;0.5;0.5;0;2.5;11.5
418;Kelly Olynyk;C;30;DET;21;1;20;3.5;8.6;0.403;1;3.5;0.297;2.4;5.1;0.477;0.464;1.7;2.4;0.686;1.6;3.3;4.9;2.8;0.9;0.5;1.7;2.4;9.7
419;Eugene Omoruyi;SF;24;DAL;4;0;4.5;0.5;1.3;0.4;0.3;0.5;0.5;0.3;0.8;0.333;0.5;0.5;1;0.5;0.5;1.3;1.8;0.5;0;0;0;0.5;1.8
420;Miye Oni;SG;24;UTA;16;0;2.8;0.1;0.6;0.222;0.1;0.5;0.125;0.1;0.1;1;0.278;0;0.1;0;0.1;0.4;0.4;0.3;0;0;0.1;0.4;0.3
421;Cedi Osman;SF;26;CLE;46;3;23;3.8;9.1;0.42;2;5.7;0.356;1.8;3.4;0.526;0.531;1.2;1.9;0.64;0.4;1.9;2.3;2;0.9;0.2;0.9;1.9;10.8
422;Daniel Oturu;C;22;TOR;3;0;9;1;2;0.5;0;0.3;0;1;1.7;0.6;0.5;1;1.7;0.6;0.3;1.3;1.7;0;0;0.7;0;0.3;3
423;Kelly Oubre Jr.;SF;26;CHO;53;13;28.3;5.9;13.5;0.437;2.7;7.9;0.34;3.2;5.6;0.574;0.536;1.8;2.5;0.689;1.2;3;4.1;1.2;1.2;0.4;1;2.6;16.2
424;Jaysean Paige;PG;27;DET;1;0;7;0;3;0;0;2;0;0;1;0;0;0;0;0;0;1;1;1;0;0;1;2;0
425;Trayvon Palmer;SG;27;DET;1;0;17;0;1;0;0;0;0;0;1;0;0;0;0;0;0;2;2;0;0;0;1;2;0
426;Kevin Pangos;PG;29;CLE;24;3;6.9;0.6;1.9;0.326;0.3;1.1;0.231;0.4;0.8;0.45;0.391;0.1;0.2;0.75;0.1;0.4;0.5;1.3;0.1;0;0.3;0.5;1.6
427;Jabari Parker;PF;26;BOS;12;0;9.3;1.5;3.2;0.474;0.7;1.3;0.5;0.8;1.8;0.455;0.579;0.8;0.8;1;0.4;1.9;2.3;0.5;0.3;0.1;0.7;1.1;4.4
428;Eric Paschall;PF;25;UTA;44;1;13.3;2;4.1;0.486;0.8;2;0.378;1.2;2;0.596;0.581;1.1;1.5;0.758;0.6;1.5;2.1;0.6;0.2;0.1;0.6;1;5.9
429;Chris Paul;PG;36;PHO;58;58;33;5.6;11.5;0.487;1;3.1;0.33;4.6;8.4;0.546;0.532;2.7;3.2;0.843;0.3;4.2;4.5;10.7;1.9;0.3;2.4;2;14.9
430;Cameron Payne;PG;27;PHO;40;0;20.4;4;9.8;0.404;1.1;3.4;0.336;2.8;6.4;0.44;0.462;1.4;1.7;0.864;0.4;2.4;2.8;3.6;0.6;0.3;1.8;1.9;10.5
431;Elfrid Payton;PG;27;PHO;38;0;11.7;1.5;3.7;0.394;0.1;0.4;0.286;1.4;3.4;0.406;0.408;0.3;0.7;0.393;0.5;1.5;2;2.2;0.5;0.1;1;0.9;3.3
432;Gary Payton II;PG;29;GSW;56;10;16.6;2.8;4.6;0.619;0.6;1.7;0.362;2.2;2.9;0.767;0.685;0.5;0.9;0.58;1;2.5;3.5;0.8;1.4;0.3;0.5;1.6;6.8
433;Norvel Pelle;C;28;UTA;3;0;6.3;1;1.7;0.6;0;0;0;1;1.7;0.6;0.6;0;0;0;1;1;2;0;0;0.3;0.7;0.3;2
434;Reggie Perry;PF;21;TOT;3;0;17;1.7;3.3;0.5;0.3;0.7;0.5;1.3;2.7;0.5;0.55;0.7;0.7;1;0.7;2;2.7;0.7;0.3;0;0.3;3;4.3
434;Reggie Perry;PF;21;POR;2;0;20.5;2;4.5;0.444;0.5;1;0.5;1.5;3.5;0.429;0.5;1;1;1;1;2.5;3.5;1;0.5;0;0.5;3;5.5
434;Reggie Perry;PF;21;IND;1;0;10;1;1;1;0;0;0;1;1;1;1;0;0;0;0;1;1;0;0;0;0;3;2
