Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
264;Josh Jackson;SF;24;TOT;40;3;17.8;2.6;6.3;0.407;0.8;2.9;0.261;1.8;3.5;0.529;0.466;1;1.4;0.714;0.4;2.7;3.1;1.2;0.5;0.5;1;1.8;6.9
264;Josh Jackson;SF;24;DET;39;3;18.1;2.6;6.4;0.41;0.8;2.9;0.265;1.9;3.5;0.529;0.47;1;1.4;0.714;0.4;2.7;3.2;1.3;0.5;0.5;1;1.8;7.1
264;Josh Jackson;SF;24;SAC;1;0;3;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
265;Justin Jackson;SF;26;TOT;7;0;5.3;0.7;2.1;0.333;0.4;1.3;0.333;0.3;0.9;0.333;0.433;0.3;0.3;1;0.1;0.9;1;0.3;0;0;0.1;0.4;2.1
265;Justin Jackson;SF;26;BOS;1;0;2;0;1;0;0;0;0;0;1;0;0;2;2;1;0;0;0;0;0;0;0;0;2
265;Justin Jackson;SF;26;PHO;6;0;5.8;0.8;2.3;0.357;0.5;1.5;0.333;0.3;0.8;0.4;0.464;0;0;0;0.2;1;1.2;0.3;0;0;0.2;0.5;2.2
266;Reggie Jackson;SG;31;LAC;56;56;30.9;6.3;16;0.395;2.3;7;0.325;4;9;0.45;0.467;1.7;2.1;0.835;0.5;3;3.4;4.4;0.7;0.2;2.2;2;16.6
267;LeBron James;SF;37;LAL;41;41;36.8;11;21.2;0.522;2.8;7.9;0.353;8.3;13.3;0.622;0.588;4.2;5.6;0.748;1.1;6.8;7.9;6.5;1.6;1;3.2;2.2;29.1
268;DeJon Jarreau;SG;24;IND;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
269;DaQuan Jeffries;SG;24;MEM;3;0;3;0.3;0.7;0.5;0;0.3;0;0.3;0.3;1;0.5;0;0;0;0;0.7;0.7;0.3;0;0;0;0.3;0.7
270;Ty Jerome;SG;24;OKC;48;4;16.7;2.6;6.8;0.378;1.1;3.9;0.29;1.5;3;0.493;0.46;0.8;1;0.809;0.4;1.2;1.6;2.3;0.6;0.1;0.8;1.5;7.1
271;Isaiah Joe;SG;22;PHI;41;1;12.2;1.2;3.5;0.352;0.9;2.7;0.33;0.3;0.8;0.424;0.479;0.5;0.5;0.952;0.1;1;1.1;0.7;0.3;0;0.4;0.9;3.8
272;Alize Johnson;PF;25;TOT;19;0;7.3;0.7;1.5;0.483;0;0.2;0;0.7;1.3;0.56;0.483;0.2;0.4;0.5;1.1;1.4;2.5;0.4;0.2;0;0.6;0.8;1.7
272;Alize Johnson;PF;25;CHI;16;0;7.6;0.8;1.4;0.522;0;0.1;0;0.8;1.3;0.571;0.522;0.3;0.4;0.571;1;1.3;2.3;0.5;0.2;0;0.5;0.9;1.8
272;Alize Johnson;PF;25;WAS;3;0;6;0.7;2;0.333;0;0.7;0;0.7;1.3;0.5;0.333;0;0.3;0;1.7;2.3;4;0;0;0;1;0;1.3
273;B.J. Johnson;SF;26;ORL;4;0;16.3;2.8;6.3;0.44;1;2.5;0.4;1.8;3.8;0.467;0.52;0;0;0;1.5;2.3;3.8;0;0;0.3;0;1;6.5
274;Cameron Johnson;PF;25;PHO;55;10;26;4.1;8.9;0.46;2.5;5.7;0.43;1.7;3.2;0.514;0.598;1.2;1.4;0.846;0.6;3.6;4.2;1.3;0.9;0.2;0.6;1.7;11.9
275;David Johnson;SG;20;TOR;2;0;1;0;0.5;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
276;Jalen Johnson;PF;20;ATL;14;0;4.6;0.6;1.4;0.45;0.2;0.6;0.375;0.4;0.9;0.5;0.525;0.3;0.4;0.667;0;1.1;1.1;0.1;0;0.1;0.2;0.2;1.8
277;James Johnson;PF;34;BRK;43;6;19.3;2.6;5.3;0.489;0.3;1.3;0.255;2.3;4;0.564;0.52;0.4;0.9;0.474;1;2.6;3.6;2;0.5;0.3;0.8;2.5;5.9
278;Joe Johnson;SG;40;BOS;1;0;2;1;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;2
279;Keldon Johnson;SF;22;SAS;55;54;31.3;5.8;12.5;0.467;1.9;4.5;0.425;3.9;8;0.491;0.544;2.1;2.8;0.748;1.1;4.9;6;1.8;0.8;0.1;1.3;1.9;15.7
280;Keon Johnson;SG;19;LAC;15;0;9;1.1;3.4;0.333;0.2;0.7;0.273;0.9;2.7;0.35;0.363;1.1;1.4;0.762;0.4;1;1.4;0.9;0.5;0.1;0.5;1.4;3.5
281;Stanley Johnson;PF;25;LAL;24;14;22;2.5;5.1;0.48;0.7;2.1;0.314;1.8;3;0.597;0.545;0.9;1.3;0.677;0.7;2.5;3.2;1.4;0.7;0.4;0.5;2.8;6.5
282;Tyler Johnson;PG;29;TOT;6;0;15.2;1;3.3;0.3;0.8;2.2;0.385;0.2;1.2;0.143;0.425;0;0;0;0.5;1.5;2;1.2;0.5;0.5;0.3;1.2;2.8
282;Tyler Johnson;PG;29;PHI;3;0;12.7;1.3;3.3;0.4;1;2.3;0.429;0.3;1;0.333;0.55;0;0;0;0.3;1.7;2;0.7;0.3;0.3;0.3;1.3;3.7
282;Tyler Johnson;PG;29;SAS;3;0;17.7;0.7;3.3;0.2;0.7;2;0.333;0;1.3;0;0.3;0;0;0;0.7;1.3;2;1.7;0.7;0.7;0.3;1;2
283;Nikola Joki?;C;26;DEN;52;52;33;9.9;17.4;0.57;1.6;4.3;0.372;8.3;13.1;0.635;0.616;4.5;5.6;0.808;2.8;11;13.8;7.9;1.3;0.8;3.8;2.5;26
